id,name,active
1,TOYOTA,true
2,HYUNDAI,true
3,SUZUKI,true
4,MILLER,true
5,MFC,true
6,RAIMBOW,true
7,DRIA,true
8,JACTO,true
9,INTERNATIONAL,true
10,FORD,true
11,LISTER,true
12,WESTINGHOUSE,true
13,WISCONSIN,true
14,QUINCY,true
15,CAMECO,true
16,CASE INTERNAT.,true
17,ISUZU ,true
18,ISUZU,true
19,FONTAINE,true
20,FRUEHAUF,true
21,CASE INT.,true
22,NISSAN TADANO,true
23,LINK BELT,true
24,TEREK,true
25,MGB,true
26,LOW BAY,true
27,BIRMINGHAN,true
28,PROPIA,true
29,CATERPILLAR,true
30,TOWNER,true
31,ROME,true
32,BALDAN,true
33,CATAERPILLAR,true
34,PHILADELPHIA,true
35,BEAST,true
36,RAMSEMES F.,true
37,MACK,true
38,HIUNDAY,true
39,LONSINGT,true
40,LANSING-G30,true
41,MACHINERY,true
42,DRAKE,true
43,BRIDGEBURT,true
44,SPEED SAW,true
45,STARA SFIL,true
46,TAYLOR,true
47,VANGUARD,true
48,CASE INTER.,true
49,NEW HOLLAND,true
50,VALTRA,true
51,KOMATZU,true
52,BUTLER,true
53,POLAR AMERICAN,true
