id,name,active,code_zafra,description
1,1998-1999,true,1999,PERIODO DE ZAFRA QUE VA DESDE: 1998-1999
2,1999-2000,true,2000,PERIODO DE ZAFRA QUE VA DESDE: 1999-2000
3,2000-2001,true,2001,PERIODO DE ZAFRA QUE VA DESDE: 2000-2001
4,2001-2002,true,2002,PERIODO DE ZAFRA QUE VA DESDE: 2001-2002
5,2002-2003,true,2003,PERIODO DE ZAFRA QUE VA DESDE: 2002-2003
6,2003-2004,true,2004,PERIODO DE ZAFRA QUE VA DESDE: 2003-2004
7,2004-2005,true,2005,PERIODO DE ZAFRA QUE VA DESDE: 2004-2005
8,2005-2006,true,2006,PERIODO DE ZAFRA QUE VA DESDE: 2005-2006
9,2006-2007,true,2007,PERIODO DE ZAFRA QUE VA DESDE: 2006-2007
10,2007-2008,true,2008,PERIODO DE ZAFRA QUE VA DESDE: 2007-2008
11,2008-2009,true,2009,PERIODO DE ZAFRA QUE VA DESDE: 2008-2009
12,2009-2010,true,2010,PERIODO DE ZAFRA QUE VA DESDE: 2009-2010
13,2010-2011,true,2011,PERIODO DE ZAFRA QUE VA DESDE: 2010-2011
14,2011-2012,true,2012,PERIODO DE ZAFRA QUE VA DESDE: 2011-2012
15,2012-2013,true,2013,PERIODO DE ZAFRA QUE VA DESDE: 2012-2013
16,2013-2014,true,2014,PERIODO DE ZAFRA QUE VA DESDE: 2013-2014
17,2014-2015,true,2015,PERIODO DE ZAFRA QUE VA DESDE: 2014-2015
18,2015-2016,true,2016,PERIODO DE ZAFRA QUE VA DESDE: 2015-2016
19,2016-2017,true,2017,PERIODO DE ZAFRA QUE VA DESDE: 2016-2017
20,2017-2018,true,2018,PERIODO DE ZAFRA QUE VA DESDE: 2017-2018
21,2018-2019,true,2019,PERIODO DE ZAFRA QUE VA DESDE: 2018-2019
22,2019-2020,true,2020,PERIODO DE ZAFRA QUE VA DESDE: 2019-2020
23,2020-2021,true,2021,PERIODO DE ZAFRA QUE VA DESDE: 2020-2021
