external_id,name,description,color,allow_timesheets,analytic_account_id,partner_id,fincas_pma,zafra,odc,frente,subfinca,up,lote,uplote,has,correg,dist,desr,ubic,tds,fecha_est_cosecha,tipocorte,variedad,fdc,fds,hdc,hdq,hasq,tonq,hasv,tonv,tche1,tche2,tche3,hasc,toncos,tonme,tonrt,tchr,difton,difprc,are,bx,sac,pza,red,ph,tch_01,dif_01,tch_02,dif_02,tch_03,dif_03,tch_04,dif_04,dosm,mad,fdam
Proyecto_196,Jarquin: 100001-10,Jarquin-100001-10,3,true,Interno,Jarquin,3,2020-2021,31,6,3,100001,10,100001-10,12.27,,8.4,1.5,,AR,21/03/2021 05:40,C04,CP72-2086,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0195599,0,87.18337408,0,114,0,50,0,0,,
Proyecto_197,Jarquin: 100001-20,Jarquin-100001-20,3,true,Interno,Jarquin,3,2020-2021,32,6,3,100001,20,100001-20,10.9,,8.4,1.5,,ARF,22/03/2021 03:39,C04,CP89-2376,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.50091743,0,96.09908257,0,96,0,66,0,0,,
Proyecto_198,Jarquin: 100001-30,Jarquin-100001-30,3,true,Interno,Jarquin,3,2020-2021,36,6,3,100001,30,100001-30,6.44,,8.4,1.5,,AR,25/03/2021 15:12,C01,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.78726708,0,57.27173913,0,82,0,42,0,0,,
Proyecto_199,Jarquin: 100001-40,Jarquin-100001-40,3,true,Interno,Jarquin,3,2020-2021,33,6,3,100001,40,100001-40,17.13,,8.4,1.5,,ARF,23/03/2021 16:07,C02,CP89-2376,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.44716871,0,70.56917688,0,83,0,89,0,0,,
Proyecto_200,Jarquin: 100001-50,Jarquin-100001-50,3,true,Interno,Jarquin,3,2020-2021,34,6,3,100001,50,100001-50,9.37,,8.4,1.5,,ARF,24/03/2021 15:13,C02,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.4738527,0,81.36499466,0,0,0,0,0,0,,
Proyecto_201,Jarquin: 100001-51,Jarquin-100001-51,3,true,Interno,Jarquin,3,2020-2021,35,6,3,100001,51,100001-51,5.87,,8.4,1.5,,ARF,25/03/2021 04:22,C02,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.33219761,0,81.36456559,0,0,0,0,0,0,,
Proyecto_202,Jarquin: 100001-60,Jarquin-100001-60,3,true,Interno,Jarquin,3,2020-2021,57,6,3,100001,60,100001-60,7.3,,8.4,1.5,,ARF,13/04/2021 12:28,C02,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0547945,0,69.20547945,0,0,0,0,0,0,,
Proyecto_203,Jarquin: 100001-65,Jarquin-100001-65,3,true,Interno,Jarquin,3,2020-2021,61,3,3,100001,65,100001-65,0.92,,8.4,1.5,,ARF,12/04/2021 09:26,C09,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.7717391,0,148.6304348,0,113,0,93,0,0,,
Proyecto_204,Jarquin: 100001-70,Jarquin-100001-70,3,true,Interno,Jarquin,3,2020-2021,14,3,3,100001,70,100001-70,3.77,,8.4,1.5,,ARF,25/01/2021 15:20,C06,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9867374,0,57.78249337,0,77,0,77,0,0,,
Proyecto_205,Jarquin: 100001-90,Jarquin-100001-90,3,true,Interno,Jarquin,3,2020-2021,58,3,3,100001,90,100001-90,13.99,,8.4,1.5,,ARF,11/04/2021 10:42,C04,CP89-2376,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.40243031,0,84.69049321,0,69,0,70,0,0,,
Proyecto_206,Jarquin: 100001-100,Jarquin-100001-100,3,true,Interno,Jarquin,3,2020-2021,60,3,3,100001,100,100001-100,1.13,,7.1,1.5,,ARF,12/04/2021 04:14,C03,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,99.9380531,0,81,0,0,0,0,,
Proyecto_207,Jarquin: 100001-120,Jarquin-100001-120,3,true,Interno,Jarquin,3,2020-2021,59,3,3,100001,120,100001-120,2.74,,7.1,1.5,,ARF,11/04/2021 23:07,C03,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.45985401,0,70.30656934,0,97,0,0,0,0,,
Proyecto_208,Jarquin: 100001-130,Jarquin-100001-130,3,true,Interno,Jarquin,3,2020-2021,54,6,3,100001,130,100001-130,13.69,,8.4,1.5,,AR,10/04/2021 23:10,C04,SP70-1284,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.98977356,0,79.91234478,0,73,0,70,0,0,,
Proyecto_209,Jarquin: 100001-131,Jarquin-100001-131,3,true,Interno,Jarquin,3,2020-2021,55,6,3,100001,131,100001-131,6.5,,8.4,1.5,,ARF,11/04/2021 10:05,C06,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.53230769,0,85.01384615,0,102,0,83,0,0,,
Proyecto_210,Jarquin: 100001-135,Jarquin-100001-135,3,true,Interno,Jarquin,3,2020-2021,56,6,3,100001,135,100001-135,17,,8.4,1.5,,AR,12/04/2021 18:28,C01,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.09705882,0,65.85294118,0,79,0,69,0,0,,
Proyecto_211,Jarquin: 100001-140,Jarquin-100001-140,3,true,Interno,Jarquin,3,2020-2021,17,3,3,100001,140,100001-140,21.36,,6.7,1.5,,FAF,02/02/2021 12:51,CQ07,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,64.02891728,0,89,0,76,0,0,,
Proyecto_212,Jarquin: 100001-145,Jarquin-100001-145,3,true,Interno,Jarquin,3,2020-2021,38,6,3,100001,145,100001-145,3.65,,6.9,1.5,,FAF,27/03/2021 04:52,GC,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Proyecto_213,Jarquin: 100001-146,Jarquin-100001-146,3,true,Interno,Jarquin,3,2020-2021,19,3,3,100001,146,100001-146,2.92,,7,1.5,,FAF,04/02/2021 21:06,GC,B82-333,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
