"id","sequence","name","default_code","responsible_id","list_price","standard_price","type","weight"
20,"1","PIEDRAS","MM-003","Administrator","0.0","0.0","Storable Product","1.0"
21,"2","CEPAS","MM-002","Administrator","0.0","0.0","Storable Product","1.0"
22,"3","TIERRAS","MM-001","Administrator","0.0","0.0","Storable Product","1.0"
23,"4","MALEZA","ME-007","Administrator","0.0","0.0","Storable Product","1.0"
24,"5","LALAS","ME-006","Administrator","0.0","0.0","Storable Product","1.0"
25,"6","YAGUAS","ME-005","Administrator","0.0","0.0","Storable Product","1.0"
26,"7","CAÑA SECA","ME-004","Administrator","0.0","0.0","Storable Product","1.0"
27,"8","COGOLLOS","ME-003","Administrator","0.0","0.0","Storable Product","1.0"
28,"9","CHULQUIN/CHUPON","ME-002","Administrator","0.0","0.0","Storable Product","1.0"
29,"10","HOJAS","ME-001","Administrator","0.0","0.0","Storable Product","1.0"
30,"11","MUESTRA CAÑA LIMPIA","MP-002","Administrator","0.0","0.0","Storable Product","1.0"
