id,name,active
1,CARGADOR,true
2,AMBULANCIA.,true
3,MICROBUS,true
4,CAMIONETA,true
5,ARCOS ELECTR.,true
6,CICLONA,true
7,ABONADORA,true
8,MOTOBOMBA,true
9,APLIC. CACHAZA,true
10,BOMBA FUMIG.,true
11,TANQUE AGUA/C. MOT,true
12,AUTOBUS,true
13,TOTAL,true
14,COMPRESOR,true
15,PLANTA ENGR.,true
16,BOB CAT,true
17,PAY LAOADER,true
18,CANE STACKER,true
19,CORTADORA DE CAÑA,true
20,COSECHADORA COMBINADA.,true
21,CAMION V.,true
22,PICK UP,true
23,PICK UP D/CAB.,true
24,PICK UP ,true
25,HATCHBACK,true
26,VAGONETA,true
27,SEMBRADORA,true
28,GRAB LOADER,true
29,GRUA ,true
30,GRUA ORUGA,true
31,LIMPIADOR,true
32,CULTIVADOR,true
33,CAMA BAJA,true
34,CAMA ALTA,true
35,MOTONIVELADORA,true
36,RASTRA,true
37,RETROEXCAVADORA,true
38,MINI CARGADOR,true
39,PALA,true
40,TRANSPORTADOR,true
41,TRITURADORA,true
42,SURCADORES,true
43,APORCADOR,true
44,MULA,true
45,CAMION,true
46,CAMION PEQUEÑO PITUFO,true
47,TANQUE DE AGUA,true
48,TORNO,true
49,TALADRO IND.,true
50,PRENSA HID.,true
51,CORTADORA,true
52,CEPILLADORA,true
53,ZANJADOR,true
54,MONTACARGAS,true
55,CHAPEADORA,true
56,CHASSIS,true
57,TRACTOR,true
58,TRACTOR ORUGA,true
59,CARRETON ,true
60,CONTENEDORES,true
61,TANQUE CISTERNA,true
