external_id,name,tipo_equipo,marca,model,serial_no,motor,note,placa,anio,localizacion,codigo_activo,tipo_activo
Equipo_1,4-01-001,AMBULANCIA.,TOYOTA,LAND CRUISER,HJ45LV-KC,H-90694,REGULAR,830451,1981,,401001,VEHICULOS-TRANSPORTE
Equipo_2,4-01-003,MICROBUS,HYUNDAI,HI MINI BUS,KMJWA37HACU347759,D4BHB014367,BUENA,726463,2011,,401003,VEHICULOS-TRANSPORTE
Equipo_3,4-01-004,MICROBUS,SUZUKI,,S-003,S/N,BUENA,823969,,,401004,VEHICULOS-TRANSPORTE
Equipo_4,4-01-005,CAMIONETA,TOYOTA,LAND CRUISER,S-004,S/N,BUENA,375714,,,401005,VEHICULOS-TRANSPORTE
Equipo_5,4-02-036,ARCOS ELECTR.,,,S-005,S/N,,SP,,,402036,VEHICULOS-TRANSPORTE
Equipo_6,4-02-037,ARCOS ELECTR.,MILLER,BOB CAT 225D,S-006,DEUTZ 150,BUENA,SP,,,402037,VEHICULOS-TRANSPORTE
Equipo_7,4-02-038,ARCOS ELECTR.,,,S-007,GASOLINA,,SP,,,402038,VEHICULOS-TRANSPORTE
Equipo_8,4-02-039,ARCOS ELECTR.,,,S-008,GASOLINA,,SP,,,402039,VEHICULOS-TRANSPORTE
Equipo_9,4-02-040,ARCOS ELECTR.,,,S-009,ELECX,,SP,,,402040,VEHICULOS-TRANSPORTE
Equipo_10,4-02-041,ARCOS ELECTR.,,,S-010,ELEC,,SP,,,402041,VEHICULOS-TRANSPORTE
Equipo_11,4-02-042,ARCOS ELECTR.,,,S-011,GASOLINA,,SP,,,402042,VEHICULOS-TRANSPORTE
Equipo_12,4-03-007,CICLONA,MFC,,S-012,NO TIENE,BUENA,SP,,,403007,VEHICULOS-TRANSPORTE
Equipo_13,4-03-010,ABONADORA,,,S-013,NO TIENE,,SP,,,403010,VEHICULOS-TRANSPORTE
Equipo_14,4-03-011,ABONADORA,,,S-014,NO TIENE,,SP,,,403011,VEHICULOS-TRANSPORTE
Equipo_15,4-03-015,ABONADORA,,SACN L-T,0306-5099,NO TIENE,,SP,,,403015,VEHICULOS-TRANSPORTE
Equipo_16,4-03-017,ABONADORA,,,S-016,NO TIENE,,SP,,,403017,VEHICULOS-TRANSPORTE
Equipo_17,4-03-019,ABONADORA,,2010,SURCAAB008,NO TIENE,BUENA,SP,2007,,403019,VEHICULOS-TRANSPORTE
Equipo_18,4-03-020,ABONADORA,,,S-018,S/N,,SP,,,403020,VEHICULOS-TRANSPORTE
Equipo_19,4-03-021,ABONADORA,,,S-019,S/N,,SP,,,403021,VEHICULOS-TRANSPORTE
Equipo_20,4-03-022,ABONADORA,,,S-020,S/N,,SP,,,403022,VEHICULOS-TRANSPORTE
Equipo_21,4-03-023,ABONADORA,,,S-021,S/N,,SP,,,403023,VEHICULOS-TRANSPORTE
Equipo_22,4-03-025,ABONADORA,,,S-022,S/N,,SP,,,403025,VEHICULOS-TRANSPORTE
Equipo_23,4-03-026,ABONADORA,,,S-023,S/N,,SP,,,403026,VEHICULOS-TRANSPORTE
Equipo_24,4-04-014,MOTOBOMBA,RAIMBOW,9000,9711,S/N,BUENA,SP,,,404014,VEHICULOS-TRANSPORTE
Equipo_25,4-04-015,MOTOBOMBA,,,9709,S/N,BUENA,SP,,,404015,VEHICULOS-TRANSPORTE
Equipo_26,4-04-016,MOTOBOMBA,,,S-026,S/N,BUENA,SP,,,404016,VEHICULOS-TRANSPORTE
Equipo_27,4-04-017,MOTOBOMBA,,,S-027,S/N,BUENA,SP,,,404017,VEHICULOS-TRANSPORTE
Equipo_28,4-04-018,MOTOBOMBA,,,S-028,S/N,,SP,,,404018,VEHICULOS-TRANSPORTE
Equipo_29,4-04-019,MOTOBOMBA,,,S-029,S/N,,SP,,,404019,VEHICULOS-TRANSPORTE
Equipo_30,4-05-001,APLIC. CACHAZA,DRIA,,S-030,S/N,BUENA,SP,,,405001,VEHICULOS-TRANSPORTE
Equipo_31,4-05-002,APLIC. CACHAZA,,,S-031,S/N,,SP,,,405002,VEHICULOS-TRANSPORTE
Equipo_32,4-06-001,BOMBA FUMIG.,JACTO,AM 12,2001,S/N,BUENA,SP,,,406001,VEHICULOS-TRANSPORTE
Equipo_33,4-06-002,BOMBA FUMIG.,JACTO,AM-14,310490,S/N,,SP,,,406002,VEHICULOS-TRANSPORTE
Equipo_34,4-06-003,BOMBA FUMIG.,,,S-034,S/N,,SP,,,406003,VEHICULOS-TRANSPORTE
Equipo_35,4-06-004,BOMBA FUMIG.,,,S-035,S/N,,SP,,,406004,VEHICULOS-TRANSPORTE
Equipo_36,4-06-005,BOMBA FUMIG.,,,S-036,S/N,,SP,,,406005,VEHICULOS-TRANSPORTE
Equipo_37,4-06-006,BOMBA FUMIG.,,,S-037,S/N,,SP,,,406006,VEHICULOS-TRANSPORTE
Equipo_38,4-06-007,BOMBA FUMIG.,,,S-038,S/N,,SP,,,406007,VEHICULOS-TRANSPORTE
Equipo_39,4-08003,TANQUE AGUA/C. MOT,,,S-039,S/N,,SP,,,408003,VEHICULOS-TRANSPORTE
Equipo_40,4-08-004,TANQUE AGUA/C. MOT,,,S-040,S/N,BUENA ,SP,,,408004,VEHICULOS-TRANSPORTE
Equipo_41,4-08-005,TANQUE AGUA/C. MOT,,,S-041,S/N,BUENA ,SP,,,408005,VEHICULOS-TRANSPORTE
Equipo_42,4-08-006,TANQUE AGUA/C. MOT,,,S-042,S/N,,SP,,,408006,VEHICULOS-TRANSPORTE
Equipo_43,4-08-007,TANQUE AGUA/C. MOT,,,S-043,S/N,,SP,,,408007,VEHICULOS-TRANSPORTE
Equipo_44,4-10-002,AUTOBUS,INTERNATIONAL,3800,HTBBAANISH215218,S/N,BUENA ,830710,1995,,410002,VEHICULOS-TRANSPORTE
Equipo_45,4-10-003,AUTOBUS,INTERNATIONAL,3800,HVBBAANASH682379,S/N,BUENA ,830709,1995,,410003,VEHICULOS-TRANSPORTE
Equipo_46,4-10-019,AUTOBUS,INTERNATIONAL,,3726538006C2920N,S/N,BUENA,830455,1981,,410019,VEHICULOS-TRANSPORTE
Equipo_47,4-10-021,AUTOBUS,INTERNATIONAL,,1HVLNGM1FH41847,S/N,BUENA,SP,1991,,410021,VEHICULOS-TRANSPORTE
Equipo_48,4-10-022,AUTOBUS,FORD,,1FDXB80C2TVAC2546,S/N,BUENA,830449,1996,,410022,VEHICULOS-TRANSPORTE
Equipo_49,4-11-001,COMPRESOR,LISTER,BS649,7278LT129-09,S/N,BUENA,SP,1976,,411001,VEHICULOS-TRANSPORTE
Equipo_50,4-11-004,COMPRESOR,WESTINGHOUSE,K238,1332069,S/N,BUENA,SP,1976,,411004,VEHICULOS-TRANSPORTE
Equipo_51,4-11-005,COMPRESOR,WISCONSIN,,5631694,S/N,BUENA,SP,1976,,411005,VEHICULOS-TRANSPORTE
Equipo_52,4-11-007,COMPRESOR,WISCONSIN,,5831373,S/N,BUENA,SP,1976,,411007,VEHICULOS-TRANSPORTE
Equipo_53,4-11-008,COMPRESOR,QUINCY,,323-15-U,S/N,BUENA,SP,1976,,411008,VEHICULOS-TRANSPORTE
Equipo_54,4-11-009,COMPRESOR,WISCONSIN,,5631696,S/N,BUENA,SP,1976,,411009,VEHICULOS-TRANSPORTE
Equipo_55,4-11-011,COMPRESOR,QUINCY,VT-3169-106,3251621164,S/N,BUENA,SP,1976,,411011,VEHICULOS-TRANSPORTE
Equipo_56,4-11-014,COMPRESOR,WISCONSIN,,15825,S/N,BUENA,SP,1976,,411014,VEHICULOS-TRANSPORTE
Equipo_57,4-15-402,PLANTA ENGR.,CAMECO,,S-057,S/N,BUENA,SP,1977,,415402,VEHICULOS-TRANSPORTE
Equipo_58,4-15-403,PLANTA ENGR.,CAMECO,,S-058,S/N,BUENA,SP,1977,,415403,VEHICULOS-TRANSPORTE
Equipo_59,4-15-404,PLANTA ENGR.,CAMECO,,S-059,S/N,BUENA,SP,1977,,415404,VEHICULOS-TRANSPORTE
Equipo_60,4-15-405,PLANTA ENGR.,CAMECO,,S-060,S/N,BUENA,SP,1976,,415405,VEHICULOS-TRANSPORTE
Equipo_61,4-15-406,PLANTA ENGR.,CAMECO,,S-061,S/N,BUENA,SP,1976,,415406,VEHICULOS-TRANSPORTE
Equipo_62,4-15-407,PLANTA ENGR.,CAMECO,,S-062,S/N,BUENA,SP,1976,,415407,VEHICULOS-TRANSPORTE
Equipo_63,4-15-408,PLANTA ENGR.,,,S-063,S/N,,SP,,,415408,VEHICULOS-TRANSPORTE
Equipo_64,4-16-001,BOB CAT,,,S-064,S/N,,SP,,,416001,VEHICULOS-TRANSPORTE
